t,asset,close
1771819200,btc,64778.0
1771819200,eth,1858.5
1771822800,btc,65035.0
1771822800,eth,1864.35
1771826400,btc,65736.5
1771826400,eth,1878.25
1771830000,btc,65947.5
1771830000,eth,1884.5
1771833600,btc,65657.5
1771833600,eth,1880.0
1771837200,btc,66385.5
1771837200,eth,1917.1
1771840800,btc,66308.5
1771840800,eth,1913.8
1771844400,btc,66188.0
1771844400,eth,1915.55
1771848000,btc,66276.0
1771848000,eth,1920.55
1771851600,btc,66124.5
1771851600,eth,1921.7
1771855200,btc,65924.5
1771855200,eth,1906.5
1771858800,btc,65640.5
1771858800,eth,1895.85
1771862400,btc,65343.5
1771862400,eth,1884.15
1771866000,btc,64771.0
1771866000,eth,1863.05
1771869600,btc,64606.5
1771869600,eth,1857.4
1771873200,btc,64272.5
1771873200,eth,1856.7
1771876800,btc,64444.0
1771876800,eth,1860.3
1771880400,btc,64550.0
1771880400,eth,1862.8
1771884000,btc,64687.5
1771884000,eth,1859.3
1771887600,btc,64610.5
1771887600,eth,1856.3
1771891200,btc,64903.5
1771891200,eth,1866.75
1771894800,btc,64110.0
1771894800,eth,1839.75
1771898400,btc,64071.0
1771898400,eth,1842.55
1771902000,btc,63530.0
1771902000,eth,1830.25
1771905600,btc,63329.5
1771905600,eth,1830.0
1771909200,btc,63068.5
1771909200,eth,1825.05
1771912800,btc,63038.0
1771912800,eth,1819.85
1771916400,btc,63141.0
1771916400,eth,1824.05
1771920000,btc,63363.0
1771920000,eth,1830.75
1771923600,btc,63212.5
1771923600,eth,1826.0
1771927200,btc,63277.5
1771927200,eth,1825.4
1771930800,btc,63207.5
1771930800,eth,1826.25
1771934400,btc,62941.0
1771934400,eth,1823.45
1771938000,btc,62870.0
1771938000,eth,1815.55
1771941600,btc,63441.5
1771941600,eth,1834.3
1771945200,btc,63955.5
1771945200,eth,1847.35
1771948800,btc,64255.5
1771948800,eth,1858.2
1771952400,btc,64221.0
1771952400,eth,1855.4
1771956000,btc,64411.5
1771956000,eth,1854.8
1771959600,btc,64417.0
1771959600,eth,1851.75
1771963200,btc,64439.0
1771963200,eth,1857.95
1771966800,btc,64020.0
1771966800,eth,1853.5
1771970400,btc,64087.5
1771970400,eth,1860.05
1771974000,btc,64020.5
1771974000,eth,1851.25
1771977600,btc,64203.0
1771977600,eth,1851.25
1771981200,btc,65910.5
1771981200,eth,1918.5
1771984800,btc,65875.0
1771984800,eth,1920.45
1771988400,btc,65366.0
1771988400,eth,1906.0
1771992000,btc,65442.5
1771992000,eth,1906.1
1771995600,btc,64870.0
1771995600,eth,1887.5
1771999200,btc,64878.0
1771999200,eth,1884.85
1772002800,btc,65007.5
1772002800,eth,1893.7
1772006400,btc,65516.5
1772006400,eth,1910.6
1772010000,btc,65537.0
1772010000,eth,1915.65
1772013600,btc,65374.5
1772013600,eth,1912.65
1772017200,btc,65409.0
1772017200,eth,1926.35
1772020800,btc,66051.5
1772020800,eth,1953.15
1772024400,btc,66225.5
1772024400,eth,1965.05
1772028000,btc,66969.0
1772028000,eth,1999.35
1772031600,btc,67415.5
1772031600,eth,2013.85
1772035200,btc,68288.5
1772035200,eth,2046.95
1772038800,btc,68677.5
1772038800,eth,2074.1
1772042400,btc,69347.0
1772042400,eth,2074.65
1772046000,btc,69031.5
1772046000,eth,2071.35
1772049600,btc,69142.5
1772049600,eth,2075.5
1772053200,btc,68919.0
1772053200,eth,2100.85
1772056800,btc,68444.0
1772056800,eth,2083.05
1772060400,btc,67991.5
1772060400,eth,2057.5
1772064000,btc,68349.0
1772064000,eth,2062.3
1772067600,btc,68227.0
1772067600,eth,2058.75
1772071200,btc,68244.5
1772071200,eth,2053.5
1772074800,btc,68224.5
1772074800,eth,2055.0
1772078400,btc,68564.0
1772078400,eth,2075.0
1772082000,btc,68436.5
